generation, individual, alpha, qmax, eta, thetamax, thetamin, daggrel, daggabs, beta1, beta2, gamma, n, phi, fitness
0,0,0.208943763046,44,0.68629905319,11.7099583083,-6.67683956099,0.845728349692,0.603061031743,0.764667516459,0.698696515789,2.62383364918,15,13.3269556194,0.600674437609
0,1,0.27852082724,43,0.747292996875,9.79692945781,-5.85431584246,0.965916835096,0.563836524681,0.0512425505606,0.914022470849,2.38688168574,20,-0.893463971672,0.60259463217
0,2,0.220168602418,27,0.94115471201,1.98157962598,-13.3285867516,0.308377858156,0.904238310687,0.0892726818036,0.6909589532,1.28208082603,5,-1.92359045072,0.58742962083
0,3,0.893871469162,46,0.0495927915781,18.734688119,-10.5127132801,0.544693505607,0.108286734096,0.349518280115,0.383018105393,3.85696404974,14,-16.2724578865,0.981311234181
0,4,0.916048409879,54,0.438445370501,11.1671335295,-1.65964259434,0.601993061246,0.637364542121,0.921698191367,0.69355559546,0.102340471524,3,11.3231439663,0.682180514859
0,5,0.648155236388,13,0.618496098194,15.9833631765,-1.06342724277,0.669376087127,0.0106069841291,0.374223338583,0.252288998063,4.57379596482,20,17.6107634088,0.602596110688
0,6,0.262466397327,60,0.71216825607,15.4194350581,-10.0721333539,0.684602683767,0.068178106494,0.763928974683,0.135750161707,0.283932217397,10,9.30493908655,0.600687099061
0,7,0.199257412003,52,0.500323482311,4.55438804443,-11.7204098041,0.0901931585669,0.742559428536,0.0349357139427,0.340514496809,4.97324760131,16,17.348123734,0.644290113096
0,8,0.603983389015,13,0.695791709229,10.7058618281,-4.8912507983,0.64313665986,0.997455043163,0.787051041279,0.690306321783,1.28250887931,7,6.96316801188,0.598802347838
0,9,0.929725302067,4,0.119105651598,2.76479937514,-9.3623684307,0.81022131538,0.565452760253,0.171449889444,0.107148297384,2.71349836122,12,15.6674897069,0.829908107454
0,10,0.35444162773,1,0.860641697314,6.39592721732,-5.22122751925,0.700923713312,0.937135072486,0.708266088389,0.490048921698,3.31809360526,20,-13.5119383615,0.589327281047
0,11,0.555350294175,51,0.713824384242,3.71601590326,-8.01979919446,0.963357069798,0.935920382131,0.331866875753,0.084296932881,0.0916607605432,6,13.4561614896,0.602593274632
0,12,0.44176110101,3,0.988735997189,0.56315470576,-4.84748756999,0.789253499721,0.237288772822,0.577184773118,0.443557088448,4.39734392938,13,7.59559805203,0.587426347376
0,13,0.710460187399,27,0.486805670159,15.0571734646,-19.4377523755,0.421582154686,0.0509682337893,0.621582656207,0.149304316628,4.1323893603,17,-11.1101371159,0.632916797745
0,14,0.44830463119,39,0.00509938412181,7.72773529994,-7.90946969377,0.068743004733,0.330863493603,0.681498721144,0.368646614252,3.03159836931,20,-14.4993226881,1.00022811189
0,15,0.229900433611,48,0.508406829647,11.167178476,-9.18300486288,0.241967734351,0.585026735233,0.0627594377875,0.602570466035,3.81947843334,15,9.44797428065,0.627203932851
0,16,0.0969478329988,12,0.934346912707,4.64284800155,-13.0415718533,0.250489868413,0.651652735304,0.513187741191,0.684880153066,0.0313360094871,8,-8.61050616923,0.58553269404
0,17,0.806814736512,40,0.664334939184,7.35862009741,-5.58355228215,0.0254081563733,0.514423840378,0.653731601806,0.808609645071,0.96148317008,15,11.0126163026,0.600675894697
0,18,0.953913879365,25,0.792811026467,4.73289503136,-4.62278754654,0.257680721838,0.950277746643,0.76676212549,0.797565729405,1.64000598916,12,-18.1539279708,0.596907688142
0,19,0.545456338344,37,0.155221126859,18.3425923653,-7.68762508213,0.274180424657,0.903898306275,0.576007555141,0.119020472155,2.06963526233,7,-0.730521235577,0.848830043304
0,20,0.260774513512,17,0.894078991648,3.86467254612,-9.5557962572,0.351716901992,0.933895037877,0.24720283528,0.29275357592,0.882534144758,8,-9.1980234349,0.593117877664
